Year,Country,GearCode,Tonnage,MainSpecies,Divcode,Code,Effort,Month_NK,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,DateCreated
2009,3,51,2,16,41,101,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,51,1,16,41,189,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,41,1,16,37,101,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,51,1,16,36,479,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,51,3,16,35,118,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,51,3,16,35,144,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,41,1,10,41,120,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,41,1,10,41,464,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,21,3,11,37,101,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,21,3,11,37,103,9,0,0,0,0,0,0,5,0,0,0,0,0,0,08-Sep-10
2009,3,21,2,11,37,118,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,41,1,14,32,101,9,0,0,0,0,0,0,0,1,17,0,0,0,0,08-Sep-10
2009,3,41,1,14,32,116,9,0,0,0,0,0,0,0,1,2,0,0,0,0,08-Sep-10
2009,3,41,1,14,32,479,9,0,0,0,0,0,0,0,0,2,0,0,0,0,08-Sep-10
2009,3,41,1,13,37,479,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,51,1,13,37,118,9,0,0,0,0,0,0,0,1,0,0,0,0,0,08-Sep-10
2009,3,41,1,13,37,169,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,41,2,13,32,120,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,41,1,13,32,118,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,41,2,13,23,118,9,0,0,0,0,0,0,0,0,3,5,0,0,0,08-Sep-10
2009,3,41,1,21,37,101,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,41,1,21,37,132,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,41,1,21,37,118,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,51,1,21,37,118,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,3,41,1,29,37,112,9,0,0,0,0,0,0,2,1,0,0,0,0,0,08-Sep-10
2009,3,41,1,29,37,101,9,0,0,0,0,0,0,0,0,0,0,0,0,0,08-Sep-10
2009,21,10,7,1,16,120,9,0,0,0,0,0,0,0,0,0,0,0,0,3,04-Jun-10
2009,21,10,7,1,16,103,9,0,0,0,0,0,0,0,0,0,0,0,0,0,04-Jun-10
2008,6,99,0,99,11,340,0,0,0,0,0,0,0,98,32,6,0,1,0,0,12-Aug-10
2008,6,99,0,99,11,188,0,0,2,10,49,165,111,64,52,64,45,23,12,3,12-Aug-10
2008,6,99,0,99,11,101,0,0,7,17,17,35,142,170,196,108,54,64,45,13,12-Aug-10
2008,6,99,0,99,11,610,0,0,5,9,9,36,94,71,59,46,57,65,57,51,12-Aug-10
2008,6,99,0,99,11,118,0,0,950,1167,974,1185,1189,2117,2711,3076,2975,3305,2610,2167,12-Aug-10
2008,6,99,0,99,11,148,0,0,1,12,18,6,4,23,14,9,18,27,14,2,12-Aug-10
2008,6,99,0,99,11,154,0,0,0,0,0,54,196,14,0,0,0,0,0,0,12-Aug-10
2008,6,99,0,99,11,166,0,0,0,0,0,0,0,0,6,0,0,0,0,0,12-Aug-10
2008,6,99,0,99,11,632,0,0,2591,2110,2533,3445,3816,3720,4267,4116,3987,3638,3672,3171,12-Aug-10
2008,6,99,0,99,11,103,0,0,4,8,14,10,5,4,4,1,3,4,2,1,12-Aug-10
2008,6,99,0,99,11,168,0,0,0,0,1,3,2,0,0,0,0,0,0,0,12-Aug-10
2008,6,99,0,99,11,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12-Aug-10
2008,6,99,0,99,12,633,0,0,8,3,6,5,1,0,0,0,2,1,0,0,12-Aug-10
2008,6,99,0,99,12,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12-Aug-10
2008,6,99,0,99,12,188,0,0,1,4,18,60,40,23,19,23,16,8,4,1,12-Aug-10
2008,6,99,0,99,12,101,0,0,25,55,56,114,471,562,649,358,178,213,148,45,12-Aug-10
2008,6,99,0,99,12,610,0,0,8,14,14,57,149,112,94,73,91,104,90,80,12-Aug-10
2008,6,99,0,99,12,118,0,0,12,14,12,14,14,26,33,37,36,40,32,26,12-Aug-10
2008,6,99,0,99,12,148,0,0,1,28,43,15,10,55,34,21,43,65,33,5,12-Aug-10
2008,6,99,0,99,12,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12-Aug-10
2008,6,99,0,99,12,535,0,0,22,60,61,35,66,19,29,18,28,10,42,15,12-Aug-10
2008,6,99,0,99,12,154,0,0,0,0,1,242,889,62,0,0,0,0,0,0,12-Aug-10
2008,6,99,0,99,12,632,0,0,5554,4524,5429,7384,8180,7973,9146,8822,8546,7799,7871,6797,12-Aug-10
2008,6,99,0,99,12,103,0,0,0,1,1,1,0,0,0,0,0,0,0,0,12-Aug-10
2008,6,99,0,99,12,199,0,0,0,1,0,0,0,0,0,0,1,0,2,0,12-Aug-10
2008,6,99,0,99,13,633,0,0,12,5,8,8,1,0,0,0,3,1,0,0,12-Aug-10
2008,6,99,0,99,13,188,0,0,1,5,22,76,51,30,24,30,21,10,5,1,12-Aug-10
2008,6,99,0,99,13,342,0,0,0,0,0,0,0,0,9,8,0,0,0,0,12-Aug-10
2008,6,99,0,99,13,101,0,0,13,30,31,62,256,306,353,195,97,116,81,24,12-Aug-10
2008,6,99,0,99,13,610,0,0,1,2,2,8,22,16,14,11,13,15,13,12,12-Aug-10
2008,6,99,0,99,13,118,0,0,12,15,12,15,15,27,34,39,38,42,33,27,12-Aug-10
2008,6,99,0,99,13,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12-Aug-10
2008,6,99,0,99,13,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12-Aug-10
2008,6,99,0,99,13,154,0,0,0,0,1,296,1085,75,0,0,0,0,0,0,12-Aug-10
2008,6,99,0,99,13,632,0,0,431,351,421,572,634,618,709,684,663,605,610,527,12-Aug-10
2008,6,99,0,99,13,103,0,0,2,4,7,5,2,2,2,0,2,2,1,1,12-Aug-10
2008,6,99,0,99,13,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12-Aug-10
2008,6,99,0,99,14,633,0,0,2,1,1,1,0,0,0,0,0,0,0,0,12-Aug-10
2008,6,99,0,99,14,188,0,0,0,1,3,10,7,4,3,4,3,1,1,0,12-Aug-10
2008,6,99,0,99,14,101,0,0,20,44,45,91,373,444,513,283,141,169,117,35,12-Aug-10
2008,6,99,0,99,14,118,0,0,48,59,49,60,60,107,136,155,150,166,131,109,12-Aug-10
2009,34,10,7,13,32,3,1,0,0,0,4,25,4,0,0,0,0,0,0,0,15-Apr-11
2009,34,10,7,13,32,118,1,0,0,0,22,337,66,0,0,0,0,0,0,0,15-Apr-11
2009,34,10,6,13,32,1,1,0,124,79,65,347,206,173,523,0,0,196,446,455,15-Apr-11
2009,34,10,6,13,32,2,1,0,11,5,6,24,12,9,26,0,0,14,25,25,15-Apr-11
2009,34,10,6,13,32,3,1,0,11,5,6,28,12,10,28,0,0,17,27,28,15-Apr-11
2009,34,10,6,13,32,118,1,0,28,0,4,21,59,91,348,0,0,38,84,175,15-Apr-11
2009,34,10,6,13,32,101,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15-Apr-11
2009,34,10,6,13,32,169,1,0,0,0,0,0,0,1,2,0,0,3,5,8,15-Apr-11
2009,34,10,6,13,32,479,1,0,5,0,0,1,0,0,0,0,0,0,0,0,15-Apr-11
2009,34,10,6,13,32,105,1,0,1,0,0,0,0,0,0,0,0,1,4,2,15-Apr-11
2009,34,10,6,13,32,168,1,0,10,0,2,4,0,0,0,0,0,0,0,0,15-Apr-11
2009,34,10,6,13,32,459,1,0,1,0,0,0,0,0,0,0,0,0,0,0,15-Apr-11
2009,34,10,6,13,32,632,1,0,0,47,46,222,20,0,0,0,0,0,0,0,15-Apr-11
2009,34,10,6,3,33,1,1,0,44,96,321,150,159,0,0,0,0,119,39,24,15-Apr-11
2009,34,10,6,3,33,2,1,0,3,9,37,15,12,0,0,0,0,16,3,2,15-Apr-11
2009,34,10,6,3,33,3,1,0,3,10,43,18,14,0,0,0,0,18,4,2,15-Apr-11
2009,34,10,6,3,33,118,1,0,3,0,4,18,0,0,0,0,0,1,3,12,15-Apr-11
2009,34,10,6,3,33,114,1,0,6,0,19,2,6,0,0,0,0,1,0,8,15-Apr-11
2009,34,10,6,3,33,112,1,0,0,0,6,0,11,0,0,0,0,1,0,6,15-Apr-11
2009,34,10,6,3,33,101,1,0,0,0,26,21,10,0,0,0,0,24,5,1,15-Apr-11
2009,34,10,6,3,33,168,1,0,12,0,5,4,2,0,0,0,0,0,0,0,15-Apr-11
2009,34,10,6,3,33,479,1,0,3,0,1,2,2,0,0,0,0,0,0,0,15-Apr-11
2009,34,10,6,3,33,109,1,0,7,94,378,154,82,0,0,0,0,266,158,31,15-Apr-11
2009,34,10,6,3,33,459,1,0,0,0,1,0,0,0,0,0,0,0,0,0,15-Apr-11
2009,34,10,6,3,33,105,1,0,0,0,1,0,0,0,0,0,0,0,0,0,15-Apr-11
2009,34,10,6,3,33,190,1,0,0,0,0,0,0,0,0,0,0,1,0,0,15-Apr-11
2009,34,10,6,3,33,632,1,0,0,9,0,3,8,0,0,0,0,0,0,0,15-Apr-11
2009,34,10,7,13,33,1,1,0,0,0,0,62,5,0,0,0,0,0,0,0,15-Apr-11
2009,34,10,7,13,33,2,1,0,0,0,0,3,1,0,0,0,0,0,0,0,15-Apr-11
