Year,Country,Gear,Tonnage,MainSpecies,AreaCode,SpeciesEffort,Effort,Month_NK,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,DateCreated
2010,3,10,7,72,1,1,1,0,0,0,0,0,0,0,0,170,0,0,0,52,2-Sep-11
2010,3,10,7,72,1,2,1,0,0,0,0,0,0,0,0,12,0,0,0,3,2-Sep-11
2010,3,10,7,72,1,3,1,0,0,0,0,0,0,0,0,12,0,0,0,3,2-Sep-11
2010,3,10,7,72,1,632,1,0,0,0,0,0,0,0,0,422,0,0,0,532,2-Sep-11
2010,3,10,7,72,2,1,1,0,0,0,0,0,0,0,0,97,152,231,333,102,2-Sep-11
2010,3,10,7,72,2,2,1,0,0,0,0,0,0,0,0,8,10,17,25,12,2-Sep-11
2010,3,10,7,72,2,3,1,0,0,0,0,0,0,0,0,8,10,17,25,12,2-Sep-11
2010,3,10,7,72,2,632,1,0,0,0,0,0,0,0,0,154,233,556,820,378,2-Sep-11
2010,3,10,7,72,2,633,1,0,0,0,0,0,0,0,0,0,6,11,65,41,2-Sep-11
2010,3,10,7,72,21,1,1,0,32,0,87,0,0,0,0,555,209,122,114,173,2-Sep-11
2010,3,10,7,72,21,2,1,0,4,0,9,0,0,0,0,51,22,14,15,20,2-Sep-11
2010,3,10,7,72,21,3,1,0,4,0,9,0,0,0,0,51,22,14,15,20,2-Sep-11
2010,3,10,7,72,21,632,1,0,153,0,497,0,0,0,0,2141,955,579,581,778,2-Sep-11
2010,3,10,7,72,21,633,1,0,0,0,0,0,0,0,0,1,5,16,3,55,2-Sep-11
2010,3,10,7,72,22,1,1,0,471,0,143,0,311,249,0,8,170,63,94,87,2-Sep-11
2010,3,10,7,72,22,2,1,0,36,0,12,0,22,17,0,2,13,7,6,7,2-Sep-11
2010,3,10,7,72,22,3,1,0,38,0,12,0,22,17,0,2,13,7,6,7,2-Sep-11
2010,3,10,7,72,22,632,1,0,1551,0,435,0,844,677,0,30,556,94,178,201,2-Sep-11
2010,3,10,7,72,22,633,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2-Sep-11
2010,3,10,7,72,23,1,1,0,376,257,1047,760,326,135,0,13,10,28,3,139,2-Sep-11
2010,3,10,7,72,23,2,1,0,33,26,83,48,22,10,0,2,2,3,1,10,2-Sep-11
2010,3,10,7,72,23,3,1,0,33,26,84,52,22,10,0,2,2,3,1,11,2-Sep-11
2010,3,10,7,72,23,632,1,0,1805,1330,2745,1737,720,131,0,22,4,17,0,163,2-Sep-11
2010,3,10,7,72,23,633,1,0,0,2,26,0,0,0,0,0,0,0,0,0,2-Sep-11
2010,3,10,7,72,31,1,1,0,0,10,268,147,38,64,372,44,116,330,0,67,2-Sep-11
2010,3,10,7,72,31,2,1,0,0,1,17,10,3,5,22,4,8,19,0,4,2-Sep-11
2010,3,10,7,72,31,3,1,0,0,1,17,11,3,5,22,4,8,19,0,4,2-Sep-11
2010,3,10,7,72,31,632,1,0,2,8,632,254,47,80,770,58,159,466,0,100,2-Sep-11
2010,3,10,7,72,32,1,1,0,176,0,0,0,0,524,114,0,0,0,0,7,2-Sep-11
2010,3,10,7,72,32,2,1,0,11,0,0,0,0,32,7,0,0,0,0,1,2-Sep-11
2010,3,10,7,72,32,3,1,0,11,0,0,0,0,34,17,0,0,0,0,1,2-Sep-11
2010,3,10,7,72,32,632,1,0,192,0,0,0,0,854,175,0,0,0,0,1,2-Sep-11
2010,3,12,1,1,37,1,1,0,16,0,0,0,0,0,0,0,0,0,0,80,2-Sep-11
2010,3,12,1,1,37,2,1,0,4,0,0,0,0,0,0,0,0,0,0,6,2-Sep-11
2010,3,12,1,1,37,3,1,0,4,0,0,0,0,0,0,0,0,0,0,6,2-Sep-11
2010,3,12,1,1,37,101,1,0,109,0,0,0,0,0,0,0,0,0,0,109,2-Sep-11
2010,3,12,1,1,37,102,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2-Sep-11
2010,3,12,1,1,37,103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2-Sep-11
2010,3,12,1,1,37,106,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2-Sep-11
2010,3,12,1,1,37,112,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2-Sep-11
2010,3,12,1,1,37,114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2-Sep-11
2010,3,12,1,1,37,120,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2-Sep-11
2010,3,12,1,1,37,186,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2-Sep-11
2010,3,12,1,13,2,1,1,0,0,0,0,0,0,486,891,0,0,0,0,0,2-Sep-11
2010,3,12,1,13,2,2,1,0,0,0,0,0,0,30,47,0,0,0,0,0,2-Sep-11
2010,3,12,1,13,2,3,1,0,0,0,0,0,0,31,47,0,0,0,0,0,2-Sep-11
2010,3,12,1,13,2,118,1,0,0,0,0,0,0,1077,904,0,0,0,0,0,2-Sep-11
2010,3,12,1,13,23,1,1,0,0,0,0,0,0,136,0,0,0,98,0,0,2-Sep-11
2010,3,12,1,13,23,2,1,0,0,0,0,0,0,8,0,0,0,6,0,0,2-Sep-11
2010,3,12,1,13,23,3,1,0,0,0,0,0,0,8,0,0,0,7,0,0,2-Sep-11
2010,3,12,1,13,23,118,1,0,0,0,0,0,0,183,0,0,0,8,0,0,2-Sep-11
